                                 Open        High         Low       Close  \
Datetime                                                                    
2024-10-17 03:32:00+01:00  172.520004  172.546997  172.514999  172.533997   
2024-10-17 03:33:00+01:00  172.533997  172.546997  172.526001  172.535995   
2024-10-17 03:34:00+01:00  172.537003  172.539001  172.524002  172.526993   
2024-10-17 03:35:00+01:00  172.529007  172.544006  172.518997  172.533005   
2024-10-17 03:36:00+01:00  172.533005  172.541000  172.487000  172.535995   
2024-10-17 03:37:00+01:00  172.535995  172.539001  172.520004  172.533005   
2024-10-17 03:38:00+01:00  172.531998  172.544006  172.516006  172.520004   
2024-10-17 03:39:00+01:00  172.516006  172.522003  172.488998  172.500000   
2024-10-17 03:40:00+01:00  172.492996  172.496994  172.432007  172.438995   
2024-10-17 03:41:00+01:00  172.438995  172.449997  172.406006  172.421997   
2024-10-17 03:42:00+01:00  172.432007  172.477997  172.421005  172.472000   
2024-10-17 03:43:00+01:00  172.468002  172.477005  172.442001  172.449997   
2024-10-17 03:44:00+01:00  172.451004  172.468002  172.440002  172.460007   
2024-10-17 03:45:00+01:00  172.470001  172.477005  172.460007  172.470001   
2024-10-17 03:46:00+01:00  172.475006  172.498993  172.457993  172.485001   
2024-10-17 03:47:00+01:00  172.485001  172.516998  172.481003  172.498993   
2024-10-17 03:48:00+01:00  172.500000  172.516998  172.492004  172.503006   
2024-10-17 03:49:00+01:00  172.509995  172.533997  172.503006  172.520004   
2024-10-17 03:50:00+01:00  172.520004  172.539001  172.514008  172.526001   
2024-10-17 03:51:00+01:00  172.522003  172.537003  172.518997  172.533005   
2024-10-17 03:52:00+01:00  172.528000  172.544998  172.514008  172.514008   
2024-10-17 03:53:00+01:00  172.518997  172.541000  172.503998  172.513000   
2024-10-17 03:54:00+01:00  172.520996  172.526001  172.501007  172.513000   
2024-10-17 03:55:00+01:00  172.520004  172.537994  172.505005  172.537994   
2024-10-17 03:56:00+01:00  172.535004  172.567001  172.520996  172.563995   
2024-10-17 03:57:00+01:00  172.556000  172.595993  172.556000  172.572998   
2024-10-17 03:58:00+01:00  172.582001  172.589996  172.561005  172.589005   
2024-10-17 03:59:00+01:00  172.589005  172.608002  172.578995  172.604996   
2024-10-17 04:00:00+01:00  172.604004  172.621994  172.591995  172.608994   
2024-10-17 04:01:00+01:00  172.617004  172.639999  172.608002  172.619003   
2024-10-17 04:02:00+01:00  172.628006  172.630005  172.582001  172.615997   
2024-10-17 04:03:00+01:00  172.617004  172.645996  172.610001  172.615005   
2024-10-17 04:04:00+01:00  172.613998  172.623993  172.595993  172.615005   
2024-10-17 04:05:00+01:00  172.613998  172.621002  172.587006  172.602997   
2024-10-17 04:06:00+01:00  172.595001  172.606003  172.584000  172.585007   
2024-10-17 04:07:00+01:00  172.589005  172.604996  172.585999  172.589996   
2024-10-17 04:08:00+01:00  172.593994  172.608002  172.585999  172.598999   
2024-10-17 04:09:00+01:00  172.600006  172.610001  172.585007  172.591003   
2024-10-17 04:10:00+01:00  172.597000  172.617004  172.591003  172.608002   
2024-10-17 04:11:00+01:00  172.606995  172.630005  172.600006  172.610001   
2024-10-17 04:12:00+01:00  172.617996  172.625000  172.604996  172.610001   
2024-10-17 04:13:00+01:00  172.608994  172.621994  172.606995  172.615997   
2024-10-17 04:14:00+01:00  172.615005  172.615997  172.587006  172.606995   
2024-10-17 04:15:00+01:00  172.606995  172.617996  172.585007  172.585999   
2024-10-17 04:16:00+01:00  172.587997  172.597000  172.570007  172.582993   
2024-10-17 04:17:00+01:00  172.584000  172.598007  172.574997  172.582001   
